time,ask,high_option_ask,low_option_ask,spx_price
12:55,93,0.05,0.1,5108.57
12:56,93,0.05,0.1,5109.95
12:57,92,0.05,0.05,5109.95
12:58,95,0.05,0.05,5110.32
12:59,95,0.05,0.05,5110.15
13:00,97,0.05,0.05,5111.34
13:01,99,0.05,0.05,5111.54
13:02,99,0.05,0.05,5109.81
13:03,100,0.05,0.05,5111.48
13:04,100,0.05,0.05,5110.69
13:05,100,0.05,0.05,5110.58
13:06,100,0.05,0.05,5111.1
13:07,100,0.05,0.05,5111.8
13:08,100,0.05,0.05,5110.84
13:09,100,0.05,0.05,5109.87
13:10,100,0.05,0.05,5109.64
13:11,100,0.05,0.05,5111.66
13:12,100,0.05,0.05,5110.75
13:13,100,0.05,0.05,5110.31
13:14,100,0.05,0.05,5111.43
13:15,100,0.05,0.05,5111.66
