time,ask,high_option_ask,low_option_ask,spx_price
10:29,43,5.9,2.2,5099.75
10:30,43,6.3,2.05,5096.99
10:31,43,6.5,1.95,5094.4
10:32,43,6.3,1.95,5096.3
10:33,43,6.3,2.0,5100.6
10:34,44,6.1,2.05,5100.6
10:35,45,5.4,2.4,5101.44
10:36,44,5.8,2.05,5102.86
10:37,43,6.6,1.75,5100.97
10:38,44,6.5,1.85,5099.85
10:39,45,6.3,1.9,5099.98
10:40,45,6.0,1.85,5100.29
10:41,45,5.6,2.0,5100.88
10:42,45,6.0,1.85,5101.24
10:43,45,5.7,1.95,5101.6
10:44,45,6.1,1.75,5099.02
10:45,46,5.8,1.9,5099.13
10:46,46,5.7,1.85,5098.19
10:47,45,5.7,1.85,5098.66
10:48,45,6.0,1.7,5100.48
10:49,46,5.4,1.9,5102.25
10:50,47,4.8,2.3,5102.5
10:51,47,4.9,2.15,5098.52
10:52,47,4.0,3.1,5098.62
10:53,48,3.5,3.1,5099.77
10:54,48,3.6,3.1,5102.87
10:55,48,3.2,3.6,5104.58
10:56,48,3.2,3.4,5104.33
10:57,48,2.55,4.3,5104.88
10:58,48,2.85,3.7,5103.6
10:59,48,2.75,3.8,5103.75
11:00,49,2.55,4.2,5103.58
11:01,49,2.45,4.2,5104.64
11:02,49,2.4,4.3,5106.19
11:03,49,2.65,3.6,5108.54
11:04,50,2.95,3.4,5110.35
11:05,50,3.1,3.3,5107.21
11:06,50,3.1,3.3,5107.24
11:07,49,3.1,3.3,5105.09
11:08,49,2.6,4.1,5105.6
11:09,49,2.85,3.6,5104.73
11:10,49,2.7,3.8,5103.31
11:11,50,2.7,3.8,5101.79
11:12,49,2.65,3.9,5096.71
11:13,48,2.25,4.6,5095.26
11:14,46,2.0,5.6,5096.29
11:15,46,1.85,5.9,5096.72
11:16,43,1.7,6.7,5096.33
11:17,40,1.55,8.9,5096.5
11:18,41,1.5,8.8,5095.95
11:19,40,1.5,9.3,5096.96
11:20,39,1.55,9.5,5098.99
11:21,38,1.45,8.9,5097.43
11:22,35,1.35,8.2,5095.98
11:23,36,1.45,8.2,5096.04
11:24,36,1.45,8.4,5094.91
11:25,35,1.3,7.6,5095.8
11:26,35,1.3,7.5,5096.03
11:27,35,1.3,7.6,5097.41
11:28,36,1.4,8.0,5098.41
11:29,35,1.1,7.0,5099.32
11:30,35,1.15,7.5,5097.88
11:31,33,1.1,6.9,5096.83
11:32,35,1.05,6.9,5098.43
11:33,37,1.2,7.8,5098.14
11:34,39,1.25,8.3,5096.58
11:35,41,1.3,8.7,5096.85
11:36,40,1.3,8.6,5097.48
11:37,41,1.25,8.5,5097.42
11:38,41,1.2,8.2,5098.86
11:39,41,1.2,8.2,5098.45
11:40,42,1.15,8.2,5098.62
11:41,40,1.05,7.5,5097.95
11:42,39,1.05,7.5,5100.09
11:43,39,1.0,7.4,5100.31
11:44,39,0.9,6.8,5102.31
11:45,39,0.9,6.7,5104.06
11:46,37,0.9,6.7,5104.6
11:47,35,0.8,5.8,5103.07
11:48,35,0.8,6.0,5103.37
11:49,34,0.75,6.0,5105.34
11:50,32,0.7,5.3,5104.58
11:51,31,0.65,5.3,5103.64
11:52,30,0.6,5.1,5104.02
11:53,28,0.6,4.9,5102.53
11:54,29,0.55,4.6,5100.6
11:55,28,0.55,4.6,5101.35
11:56,27,0.55,4.6,5101.28
11:57,27,0.55,4.8,5101.05
11:58,27,0.5,4.4,5100.96
11:59,28,0.5,4.2,5102.13
12:00,29,0.55,4.9,5101.56
12:01,31,0.55,4.9,5098.16
12:02,32,0.55,5.1,5100.43
12:03,33,0.55,5.1,5100.18
12:04,33,0.6,5.5,5099.68
12:05,33,0.6,5.3,5101.02
12:06,34,0.6,5.5,5100.12
12:07,37,0.6,5.6,5099.99
12:08,39,0.75,6.9,5099.37
12:09,38,0.7,6.5,5100.68
12:10,38,0.7,6.3,5101.3
12:11,35,0.7,5.8,5102.18
12:12,36,0.6,5.5,5101.48
