time,ask,high_option_ask,low_option_ask,spx_price
11:07,6,0.15,0.6,5105.09
11:08,6,0.15,0.55,5105.6
11:09,6,0.15,0.55,5104.73
11:10,6,0.15,0.55,5103.31
11:11,6,0.15,0.55,5101.79
11:12,7,0.15,0.65,5096.71
11:13,9,0.15,0.7,5095.26
11:14,9,0.15,0.7,5096.29
11:15,12,0.15,0.75,5096.72
11:16,14,0.2,1.15,5096.33
11:17,13,0.15,1.0,5096.5
11:18,13,0.15,1.05,5095.95
11:19,11,0.2,1.05,5096.96
11:20,10,0.15,0.8,5098.99
11:21,8,0.15,0.75,5097.43
11:22,8,0.15,0.65,5095.98
11:23,8,0.15,0.7,5096.04
11:24,8,0.15,0.8,5094.91
11:25,10,0.15,1.0,5095.8
11:26,12,0.15,1.05,5096.03
11:27,11,0.15,1.0,5097.41
11:28,11,0.15,0.85,5098.41
11:29,11,0.15,1.15,5099.32
11:30,11,0.15,0.95,5097.88
11:31,11,0.15,0.95,5096.83
11:32,11,0.15,0.95,5098.43
11:33,12,0.15,1.05,5098.14
11:34,13,0.15,1.15,5096.58
11:35,13,0.15,1.1,5096.85
11:36,15,0.15,1.15,5097.48
11:37,14,0.2,1.25,5097.42
11:38,12,0.15,1.0,5098.86
11:39,12,0.15,1.0,5098.45
11:40,12,0.15,0.85,5098.62
11:41,13,0.15,1.0,5097.95
11:42,14,0.15,1.05,5100.09
11:43,15,0.2,1.2,5100.31
11:44,16,0.15,1.2,5102.31
11:45,16,0.15,1.15,5104.06
11:46,16,0.15,1.2,5104.6
11:47,17,0.15,1.3,5103.07
11:48,17,0.15,1.35,5103.37
11:49,18,0.2,1.45,5105.34
11:50,18,0.2,1.5,5104.58
11:51,18,0.2,1.45,5103.64
11:52,19,0.2,1.5,5104.02
11:53,21,0.2,1.65,5102.53
11:54,21,0.2,1.7,5100.6
11:55,20,0.2,1.65,5101.35
11:56,21,0.2,1.55,5101.28
11:57,22,0.2,1.85,5101.05
11:58,23,0.2,1.95,5100.96
11:59,23,0.2,1.9,5102.13
12:00,24,0.2,1.95,5101.56
12:01,26,0.25,2.45,5098.16
12:02,28,0.25,2.2,5100.43
12:03,28,0.3,2.95,5100.18
12:04,28,0.25,2.75,5099.68
12:05,27,0.25,2.4,5101.02
12:06,24,0.25,2.2,5100.12
12:07,26,0.25,2.4,5099.99
12:08,26,0.25,2.45,5099.37
12:09,26,0.25,2.45,5100.68
12:10,27,0.25,2.4,5101.3
12:11,26,0.25,2.55,5102.18
12:12,26,0.25,2.25,5101.48
12:13,26,0.25,2.15,5101.65
12:14,27,0.25,2.4,5102.17
12:15,28,0.25,2.45,5102.88
12:16,26,0.25,2.45,5102.72
12:17,25,0.2,2.2,5102.82
12:18,28,0.25,2.6,5102.0
12:19,30,0.25,2.65,5102.54
12:20,34,0.25,2.95,5103.01
12:21,37,0.35,4.3,5102.08
12:22,35,0.3,3.8,5103.19
12:23,34,0.25,3.4,5103.72
12:24,34,0.25,3.3,5103.31
12:25,35,0.3,3.5,5103.54
12:26,35,0.3,3.6,5104.82
12:27,35,0.25,3.3,5103.53
12:28,36,0.3,3.8,5104.23
12:29,35,0.3,3.6,5103.75
12:30,36,0.3,3.8,5104.33
12:31,36,0.3,4.1,5103.99
12:32,36,0.3,3.6,5102.53
12:33,36,0.3,4.0,5103.29
12:34,34,0.3,3.9,5104.29
12:35,34,0.3,3.4,5105.56
12:36,35,0.25,3.2,5105.28
12:37,35,0.3,3.6,5106.24
12:38,35,0.3,3.3,5106.89
12:39,34,0.3,3.6,5107.54
12:40,34,0.3,3.6,5108.19
12:41,35,0.3,3.5,5108.16
12:42,34,0.3,3.4,5108.06
12:43,33,0.3,3.4,5107.87
12:44,33,0.25,3.1,5106.11
12:45,32,0.25,3.0,5107.04
12:46,29,0.25,3.0,5106.98
12:47,30,0.25,2.7,5107.84
12:48,31,0.25,3.1,5106.24
12:49,32,0.25,3.1,5107.24
12:50,32,0.25,3.3,5107.4
12:51,31,0.25,3.1,5108.02
12:52,33,0.25,3.2,5107.74
12:53,33,0.25,3.2,5108.06
12:54,33,0.25,3.3,5108.3
12:55,34,0.25,3.4,5108.57
12:56,36,0.25,3.7,5109.95
12:57,34,0.25,3.5,5109.95
12:58,33,0.25,3.2,5110.32
12:59,33,0.25,3.2,5110.15
13:00,34,0.25,3.4,5111.34
13:01,32,0.25,3.5,5111.54
13:02,33,0.25,2.85,5109.81
13:03,33,0.25,3.1,5111.48
13:04,33,0.25,3.0,5110.69
13:05,32,0.25,2.95,5110.58
