quote_datetime,ask,option_type
13:49,99.8,C
13:50,100.5,C
13:51,100.7,C
13:52,104.3,C
13:53,107.8,C
13:54,109.0,C
13:55,109.0,C
13:56,106.9,C
13:57,104.3,C
13:58,105.6,C
13:59,105.5,C
14:00,105.6,C
14:01,104.8,C
14:02,104.0,C
14:03,104.3,C
14:04,105.1,C
14:05,104.9,C
14:06,105.4,C
14:07,104.8,C
14:08,106.6,C
14:09,107.1,C
14:10,107.3,C
14:11,107.9,C
14:12,106.8,C
14:13,107.8,C
14:14,108.8,C
14:15,108.8,C
14:16,109.2,C
14:17,109.9,C
14:18,112.8,C
14:19,110.4,C
14:20,110.6,C
14:21,112.3,C
14:22,113.4,C
14:23,112.6,C
14:24,112.6,C
14:25,113.7,C
14:26,112.5,C
14:27,114.0,C
14:28,113.2,C
14:29,113.3,C
14:30,113.8,C
14:31,113.3,C
14:32,113.4,C
14:33,114.0,C
14:34,113.4,C
14:35,114.2,C
14:36,114.3,C
14:37,113.7,C
14:38,114.7,C
14:39,113.0,C
14:40,110.9,C
14:41,109.4,C
14:42,107.3,C
14:43,107.1,C
14:44,103.3,C
14:45,102.7,C
14:46,102.7,C
14:47,101.7,C
14:48,101.2,C
14:49,100.3,C
14:50,102.8,C
14:51,100.4,C
14:52,100.5,C
14:53,98.2,C
14:54,102.3,C
14:55,103.1,C
14:56,102.3,C
14:57,105.9,C
14:58,103.4,C
14:59,106.5,C
15:00,104.5,C
15:01,103.0,C
15:02,101.3,C
15:03,101.8,C
15:04,101.9,C
15:05,103.6,C
15:06,102.9,C
15:07,101.8,C
15:08,101.0,C
15:09,101.0,C
15:10,101.5,C
15:11,100.9,C
15:12,99.1,C
15:13,101.7,C
15:14,102.0,C
15:15,102.0,C
15:16,102.3,C
15:17,102.1,C
15:18,102.5,C
15:19,100.2,C
15:20,98.9,C
15:21,95.2,C
15:22,97.9,C
15:23,96.5,C
15:24,97.4,C
15:25,95.5,C
15:26,94.1,C
15:27,95.3,C
15:28,96.6,C
15:29,96.9,C
15:30,97.2,C
15:31,96.4,C
15:32,95.7,C
15:33,94.2,C
15:34,92.6,C
15:35,87.6,C
15:36,85.0,C
15:37,84.6,C
15:38,84.8,C
15:39,84.4,C
15:40,84.3,C
15:41,83.4,C
15:42,89.6,C
15:43,87.6,C
15:44,85.2,C
15:45,88.7,C
15:46,88.3,C
15:47,90.0,C
15:48,90.6,C
15:49,92.5,C
15:50,92.8,C
15:51,88.0,C
15:52,87.5,C
15:53,86.3,C
15:54,83.4,C
15:55,83.1,C
15:56,83.6,C
15:57,84.8,C
15:58,82.6,C
15:59,80.5,C
16:00,0.05,P
16:01,0.05,P
16:02,0.05,P
16:03,0.05,P
16:04,0.05,P
16:05,0.05,P
16:06,0.05,P
16:07,0.05,P
16:08,0.05,P
16:09,0.05,P
16:10,0.05,P
16:11,0.05,P
16:12,0.05,P
16:13,0.05,P
16:14,0.05,P
16:15,0.05,P
